BUS_CODE,ROAD_DESCRIPT,BUSSTOP_DESC
1012,Victoria St,Hotel Grand Pacific
1013,Victoria St,St. Joseph's Ch
1019,Victoria St,Bras Basah Cplx
1029,Nth Bridge Rd,Cosmic Insurance Bldg
1039,Nth Bridge Rd,Nth Bridge Commercial Cplx
1059,Victoria St,Bugis Stn
1109,Queen St,Queen St Ter
1112,Victoria St,Opp Bugis Junction
1113,Victoria St,Bugis Stn
1119,Victoria St,Bugis Junction
1121,Victoria St,Stamford Pr Sch
1129,Victoria St,Opp Stamford Pr Sch
1139,Nth Bridge Rd,Parkview Sq
1211,Victoria St,Opp Blk 461
1219,Victoria St,Blk 461
1229,Nth Bridge Rd,Bef Sultan Mque
1231,Jln Sultan,Opp Textile Ctr
1239,Jln Sultan,Sultan Plaza
1311,Kallang Rd,Lavender Stn
1319,Kallang Rd,Lavender Stn
1329,Nth Bridge Rd,Blk 8
1339,Crawford St,Bef Crawford Bridge
1341,Crawford St,Eng Cheong Twr
1349,Crawford St,Opp Blk 4
1411,Beach Rd,Keypoint Bldg
1419,Beach Rd,St. John HQ
1421,Beach Rd,Opp Golden Mile Cplx
1429,Beach Rd,Golden Mile Cplx
1511,Beach Rd,Opp The Gateway
1519,Beach Rd,The Gateway
1521,Beach Rd,Opp Plaza Parkroyal
1529,Beach Rd,Plaza Parkroyal
1541,Rochor Rd, Aft Beach Rd
1549,Ophir Rd, Near Bali Lane
1559,Ophir Rd,Golden Landmark 
1611,Beach Rd,Raffles Hotel
1619,Beach Rd,Opp Raffles Hotel
1621,Beach Rd,Opp Shaw Twrs
1629,Beach Rd,Shaw Twrs
1631,Middle Rd,Aft Beach Rd
1639,Middle Rd,Bef Beach Rd
2011,Fullerton Rd,Victoria Concert Hall
2029,Connaught Dr,Opp S'pore Cricket Club
2031,Coleman St,Opp The Adelphi
2049,Bras Basah Rd,Raffles Hotel
2051,Raffles Ave,Seating Gallery
2061,Raffles Ave,The Esplanade
2089,Raffles Blvd,Pan Pacific Hotel
2099,Raffles Blvd,Marina Ctr Ter
2101,Raffles Ave,Bef Temasek Ave
2111,Esplanade Dr,Esplanade Bridge
2119,Nicoll Highway,One Raffles Link
2129,Republic Blvd,Aft Raffles Blvd
2139,Republic Blvd,Bef Republic Ave
2141,Temasek Blvd,Suntec Twr Two
2149,Temasek Blvd,Suntec Twr Three
2151,Temasek Blvd,Suntec Convention Ctr
2159,Temasek Blvd,Opp Suntec Convention Ctr
2161,Temasek Ave,Opp Millenia Twr
2169,Temasek Ave,Centennial Twr
2171,Temasek Ave,Opp The Ritz-Carlton
2181,Parliament Pl,Supreme Ct
3011,Fullerton Rd,Fullerton Sq
3019,Collyer Quay,Clifford Pier
3021,Cecil St,Prudential Twr
3031,Robinson Rd,Opp AIA Twr
3041,Cross St,Opp PWC Bldg
3059,Raffles Quay,One Raffles Quay
3071,Robinson Rd,Opp The Ogilvy Ctr
3111,Robinson Rd,Aft Capital Twr
3129,Shenton Way,UIC Bldg
3151,Cecil St,Opp GB Bldg
3211,Palmer Rd,Bef Shenton Way
3217,Shenton Way,Opp Temasek Twr
3218,Shenton Way,Opp MAS Bldg
3219,Palmer Rd,Aft Shenton Way
3222,Anson Rd,Hub Synergy Pt
3223,Anson Rd,Intl Plaza
3239,Palmer Rd,Shenton Way Ter
3299,Prince Edward Rd,Prince Edward Rd
3301,Marina Stn Rd,Marina Stn Rd
3309,Marina Stn Rd,Marina Stn Rd
3311,Marina Stn Rd,Marina Bay Stn
3319,Marina St,Opp Marina Bay Stn
3321,Marina Pl,Bef Marina City Pk
3329,Marina Pl,Aft Marina City Pk
3331,Marina Blvd,Marina City Pk
3339,Marina Blvd,Opp Marina City Pk
3341,Marina Mall,Aft Marina Blvd
3349,Marina Mall,Aft Marina Gr
3369,Marina Gdns Dr,Marina Barrage
3371,Marina Mall,Aft Marina Way
3381,Marina Blvd,The Sail
3391,Marina Blvd,Marina Bay Financial Ctr
3419,Marina Coastal Dr,Marina Sth Pier Ter
3501,Bayfront Ave,Marina Bay Sands Theatre
3509,Bayfront Ave,Marina Bay Sands Hotel
3511,Bayfront Ave,Marina Bay Sands MICE
3519,Bayfront Ave,Opp Marina Bay Sands MICE
3531,Central Blvd,Bef Marina Way
3539,Central Blvd,Aft Marina Stn Rd
3885,ECP,Express
4019,Bencoolen St,Plaza By The Pk
4029,Bencoolen St,Aft Prinsep Link
4111,Stamford Rd,Capitol Bldg
4121,Stamford Rd,SMU
4131,Armenian St,Bef Stamford Rd
4142,Hill St,Armenian Ch
4143,Hill St,Stamford Ct
4149,Hill St,Grand Park City Hall
4151,Victoria St,Cath of The Good Shepherd
4159,Victoria St,Aft Chijmes
4167,Nth Bridge Rd,St. Andrew's Cath
4168,Nth Bridge Rd,Opp Peninsula Plaza
4179,Bras Basah Rd,NTUC Income Ctr
4211,River Valley Rd,Clarke Quay
4219,River Valley Rd,Opp Clarke Quay
4222,Eu Tong Sen St,Clarke Quay Stn
4223,Hill St,MICA Bldg
4229,Hill St,High St Ctr
4231,Eu Tong Sen St,Clarke Quay Stn
4239,New Bridge Rd,Clarke Quay Stn
