X,Y,ZID,BUSCODE
103.8525359,1.296848255,0,1012
103.8532247,1.297709706,1,1013
103.8530216,1.296982901,2,1019
103.8544142,1.296672985,3,1029
103.8554914,1.298207841,4,1039
103.856445,1.301110385,5,1059
103.8565037,1.303585776,6,1109
103.8552332,1.300154944,7,1112
103.8561116,1.301183298,8,1113
103.8551282,1.299600064,9,1119
103.8586852,1.303942638,10,1121
103.8586608,1.303511673,11,1129
103.8571608,1.300330579,12,1139
103.860545,1.305518035,13,1211
103.860733,1.305264796,14,1219
103.8596309,1.303375526,15,1229
103.8610831,1.30325,16,1231
103.8616182,1.302912366,17,1239
103.862197,1.307091646,18,1311
103.8632611,1.307576369,19,1319
103.8636303,1.304956702,20,1329
103.8642627,1.307746017,21,1339
103.8645253,1.306475556,22,1341
103.8654399,1.305686357,23,1349
103.862956,1.302113329,24,1411
103.8632633,1.30202,25,1419
103.8648389,1.303384444,26,1421
103.8650158,1.303213609,27,1429
103.8586452,1.299198261,28,1511
103.8589219,1.299072091,29,1519
103.860661,1.300883044,30,1521
103.8604412,1.300416677,31,1529
103.8572938,1.298953025,32,1541
103.8587312,1.300698689,33,1549
103.8575302,1.301690166,34,1559
103.8553904,1.295296386,35,1611
103.8556606,1.295234651,36,1619
103.856533,1.296997394,37,1621
103.8568585,1.296969976,38,1629
103.8558056,1.296936146,39,1631
103.8555758,1.2973875,40,1639
103.8520889,1.288295,41,2011
103.8530069,1.288968611,42,2029
103.8511775,1.291741147,43,2031
103.854012,1.294568502,44,2049
103.8589172,1.289516698,45,2051
103.8564966,1.289872008,46,2061
103.8592673,1.291533235,47,2089
103.8625577,1.291016617,48,2099
103.86191,1.289384838,49,2101
103.8545378,1.290948785,50,2111
103.8553433,1.291844074,51,2119
103.8593381,1.295765716,52,2141
103.8595553,1.295604598,53,2149
103.8578462,1.293177763,54,2151
103.8583817,1.293551005,55,2159
103.8608853,1.293392739,56,2161
103.8606121,1.29345972,57,2169
103.8609795,1.290443339,58,2171
103.8509817,1.289474444,59,2181
103.853336,1.285597589,60,3011
103.8531081,1.284245,61,3019
103.849989,1.282555246,62,3021
103.8509381,1.282181998,63,3031
103.8489321,1.281795094,64,3041
103.8513565,1.280976496,65,3059
103.8494725,1.280132502,66,3071
103.8481777,1.277946761,67,3111
103.8495672,1.278070035,68,3129
103.8477623,1.278921246,69,3151
103.8466769,1.2730077,70,3211
103.8478623,1.275432959,71,3217
103.8468781,1.274116652,72,3218
103.8470173,1.273125334,73,3219
103.8448956,1.273978369,74,3222
103.8463247,1.275703395,75,3223
103.8486641,1.272994845,76,3239
103.8552881,1.275251522,77,3311
103.8553475,1.274989737,78,3319
103.8592187,1.276218251,79,3321
103.8595094,1.276383333,80,3329
103.860783,1.276571097,81,3331
103.8606003,1.276443333,82,3339
103.8640342,1.276755816,83,3341
103.8644757,1.276519722,84,3349
103.8698745,1.279607721,85,3369
103.8673522,1.27938475,86,3371
103.8530973,1.281618875,87,3381
103.854987,1.280371844,88,3391
103.864365,1.272226953,89,3419
103.8606106,1.284999442,90,3501
103.8600695,1.283185893,91,3509
103.8589728,1.281947081,92,3511
103.8588495,1.28128146,93,3519
103.8538102,1.278294548,94,3531
103.8536737,1.27814913,95,3539
103.8497561,1.298072169,96,4019
103.8509267,1.299481667,97,4029
103.851335,1.293955631,98,4111
103.8495862,1.296125954,99,4121
103.8496721,1.293088985,100,4142
103.8502061,1.294116408,101,4143
103.8498431,1.292762752,102,4149
103.8511397,1.295337778,103,4151
103.8510814,1.29489485,104,4159
103.8516189,1.292735252,105,4167
103.8512599,1.292082215,106,4168
103.8515228,1.296388744,107,4179
103.84975,1.297804757,108,4189
103.8471244,1.290436111,109,4211
103.8468678,1.290968028,110,4219
103.847089,1.288985339,111,4222
103.848579,1.290844761,112,4223
103.8487512,1.290448308,113,4229
103.8474938,1.288827179,114,4239
103.8502622,1.290430394,115,4249
103.8488847,1.289738333,116,4251
103.8439214,1.294645753,117,4311
103.8430365,1.292140008,118,4321
103.8432838,1.291970571,119,4329
103.8450409,1.291839394,120,4331
103.8446415,1.292577669,121,4339
103.8492364,1.285925541,122,5009
103.8408772,1.281545833,123,5012
103.8429987,1.284069799,124,5013
103.8410515,1.281195192,125,5019
103.844372,1.285710899,126,5022
103.8454109,1.286930711,127,5023
103.8483334,1.287246566,128,5029
103.8425428,1.282938191,129,5039
103.8445564,1.285314717,130,5049
103.8457668,1.28676206,131,5059
103.8463467,1.286011667,132,5129
103.8452739,1.283985132,133,5131
103.8452806,1.282091396,134,5189
103.8466708,1.284470787,135,5199
103.8413465,1.278368849,136,5239
103.8422011,1.280793646,137,5241
103.8426708,1.279682507,138,5259
103.8447242,1.28112262,139,5269
103.8438221,1.279753295,140,5271
103.8490869,1.284496673,141,5319
103.8430919,1.275191657,142,5411
103.8431868,1.274706695,143,5419
103.8434635,1.277774706,144,5421
103.8437065,1.27769413,145,5429
