SVC_NUM,DIR,ROUTE_SEQ,BS_CODE,DISTANCE
10,1,1,75009,0
10,1,2,76059,0.6
10,1,3,76069,1.1
10,1,4,96289,2.3
10,1,5,96109,2.7
10,1,6,85079,3.3
10,1,7,85089,3.5
10,1,8,85069,3.8
10,1,9,85059,4.1
10,1,10,85049,4.5
10,1,11,85039,4.8
10,1,12,85029,5
10,1,13,85019,5.2
10,1,14,94079,5.4
10,1,15,94069,5.9
10,1,16,94059,6.3
10,1,17,94049,6.7
10,1,18,94089,6.9
10,1,19,94039,7.2
10,1,20,94029,7.6
10,1,21,94019,7.8
10,1,22,93099,8.2
10,1,23,93089,8.7
10,1,24,93079,9
10,1,25,93069,9.3
10,1,26,93059,9.7
10,1,27,92159,10
10,1,28,92149,10.3
10,1,29,92139,10.6
10,1,30,92129,11.1
10,1,31,92119,11.6
10,1,32,92109,11.8
10,1,33,92099,12.1
10,1,34,92161,12.6
10,1,35,82071,13
10,1,36,81199,13.8
10,1,37,81189,14.1
10,1,38,81179,14.6
10,1,39,80141,15.3
10,1,40,80219,16
10,1,41,80169,17.4
10,1,42,80159,18.1
10,1,43,2119,18.6
10,1,44,3019,19.6
10,1,45,3059,20
10,1,46,3129,20.4
10,1,47,3217,20.8
10,1,48,5649,21.7
10,1,49,14061,22
10,1,50,14071,22.5
10,1,51,14081,22.9
10,1,52,14101,23.3
10,1,53,14141,24.1
10,1,54,14121,24.4
10,1,55,14131,24.8
10,1,56,14151,25.3
10,1,57,14161,25.8
10,1,58,14171,26.1
10,1,59,15141,26.8
10,1,60,15151,27.1
10,1,61,15161,27.3
10,1,62,15191,27.8
10,1,63,15201,28.1
10,1,64,15221,28.7
10,1,65,16201,29
10,1,66,16011,29.4
10,1,67,16021,29.8
10,1,68,16031,30.1
10,1,69,16041,30.3
10,1,70,16051,30.6
10,1,71,16061,30.8
10,1,72,16071,31.1
10,1,73,16081,31.4
10,1,74,16009,31.9
10,2,1,16009,0
10,2,2,16089,0.4
10,2,3,16079,0.6
10,2,4,16069,0.9
10,2,5,16059,1.2
10,2,6,16049,1.4
10,2,7,16039,1.6
10,2,8,16029,1.9
10,2,9,16019,2.3
10,2,10,16209,2.7
10,2,11,15229,3
10,2,12,15219,3.2
10,2,13,15209,3.6
10,2,14,15199,3.9
10,2,15,15169,4.4
10,2,16,15159,4.6
10,2,17,15149,4.9
10,2,18,14189,5.3
10,2,19,14179,5.6
10,2,20,14169,6
10,2,21,14159,6.5
10,2,22,14139,6.9
10,2,23,14129,7.4
10,2,24,14119,7.7
10,2,25,14109,8.4
10,2,26,14089,8.8
10,2,27,14069,9.7
10,2,28,5641,10.2
10,2,29,3222,10.6
10,2,30,3111,11.3
10,2,31,3071,11.6
10,2,32,3031,11.9
10,2,33,3011,12.5
10,2,34,2111,13.1
10,2,35,80151,13.7
10,2,36,80161,14.6
10,2,37,80211,16.2
10,2,38,80149,16.8
10,2,39,81171,17.5
10,2,40,81181,18
10,2,41,81191,18.4
10,2,42,82079,18.9
10,2,43,92169,19.3
10,2,44,92091,19.9
10,2,45,92101,20.2
10,2,46,92111,20.4
10,2,47,92121,20.9
10,2,48,92131,21.4
10,2,49,92141,21.8
10,2,50,92151,22
