SVC_NUM,DIR,ROUT_SEQ,BS_CODE,DISTANCE
106,1,1,43009,0
106,1,2,43179,0.6
106,1,3,43189,1
106,1,4,43619,1.4
106,1,5,43629,1.6
106,1,6,42319,2
106,1,7,28109,2.7
106,1,8,28189,3.1
106,1,9,28019,3.8
106,1,10,20109,4.4
106,1,11,17189,4.8
106,1,12,17179,5.1
106,1,13,17169,5.4
106,1,14,17159,5.8
106,1,15,19049,6.4
106,1,16,19039,6.9
106,1,17,19029,7.4
106,1,18,19019,7.7
106,1,19,11199,8.1
106,1,20,11189,8.6
106,1,21,11401,9
106,1,22,11239,10.1
106,1,23,11229,10.5
106,1,24,11219,10.8
106,1,25,11209,11.2
106,1,26,13029,11.7
106,1,27,13019,12.3
106,1,28,9149,12.6
106,1,29,9159,13.1
106,1,30,9169,13.4
106,1,31,9179,13.7
106,1,32,9048,14.2
106,1,33,9038,14.8
106,1,34,8138,15.2
106,1,35,8057,15.6
106,1,36,8069,16.1
106,1,37,4179,16.4
106,1,38,2049,16.8
106,1,39,E0200,-
106,1,40,2151,17.4
106,1,41,2161,18.1
106,1,42,2171,18.4
106,1,43,3509,19.3
106,1,44,3519,19.6
106,1,45,3539,20.4
106,1,46,3129,21.2
106,1,47,3218,21.8
106,1,48,3219,22
106,2,1,3239,0
106,2,2,3211,0.2
106,2,3,E0321,-
106,2,4,E0564,-
106,2,5,3222,0.7
106,2,6,E0599,-
106,2,7,3531,2.1
106,2,8,3511,3
106,2,9,3501,3.4
106,2,10,2051,4.1
106,2,11,2061,4.4
106,2,12,4111,5.1
106,2,13,4121,5.5
106,2,14,8041,5.8
106,2,15,8031,6.1
106,2,16,8111,6.6
106,2,17,8121,6.9
106,2,18,9059,7.2
106,2,19,9022,7.7
106,2,20,9111,8.2
106,2,21,9121,8.5
106,2,22,9131,9.1
106,2,23,9141,9.4
106,2,24,13011,9.7
106,2,25,13021,10.3
106,2,26,11201,10.6
106,2,27,11211,10.9
106,2,28,11221,11.4
106,2,29,11231,11.9
106,2,30,11419,12.6
106,2,31,11409,13
106,2,32,11181,13.3
106,2,33,11191,13.8
106,2,34,19011,14.3
106,2,35,19021,14.7
106,2,36,19031,15.1
106,2,37,19041,15.5
106,2,38,17151,16.2
106,2,39,17161,16.5
106,2,40,17171,16.9
106,2,41,17181,17.2
106,2,42,20101,17.5
106,2,43,28011,18.1
106,2,44,28181,18.9
106,2,45,28101,19.3
106,2,46,42311,20
106,2,47,43621,20.4
106,2,48,43611,20.7
106,2,49,43181,21
106,2,50,43171,21.4
106,2,51,43009,21.9
167,1,1,58009,0
167,1,2,58151,0.5
167,1,3,58331,0.9
167,1,4,58029,1.9
167,1,5,58019,2.2
167,1,6,57139,2.5
167,1,7,57129,2.9
167,1,8,57119,3.2
167,1,9,57089,3.6
167,1,10,57079,4
167,1,11,57069,4.6
167,1,12,57059,5.1
167,1,13,57049,5.6
167,1,14,57039,6.2
167,1,15,57029,6.5
167,1,16,57019,6.9
167,1,17,56099,7.3
167,1,18,56089,7.9
